Questions,Answers
"My question is, does the book buff etology by Mary Buffett resent fairly in all material respects the calculations you used in evaluating the business for purchase or the lady just write a book?","Well, it was written by two authors. But I would say that, no, I would say that in a general way, it gets at the investment philosophy, but I wouldn't say that it's not the book I would have written precisely, but I have no coral with it either. I actually think by reading Berkshire's reports, you should be able to get more, I would think you get more of our philosophy than any other matter. I think Larry Cunningham, the fellow held the symposium at the Cardoso School at Yashiva, did the best job actually of sort of reconstructing the various things that have been written at Berkshire into sort of the best organized presentation of our philosophy. So he's selling it right here. It's a very practical. Yeah, I had it in the mall outside, Borschein yesterday, and Larry did a very good job, and I had nothing to do with it, but I think that I really think he's done a first-class job of sort of organizing my topic. I mean, all these things that I've sort of written annually and Charlie's written over time. So that would probably be my, if I were picking one thing to read, that would probably be the one."
"With reference to communication stocks, a course of the growth of cellular communications and the internet, certain stocks hold the prospect of substantially above average revenue and earnings growth. AT&T and Nokia, as an example, earn respectable margins and return on common equity and would seem to fit Berkshire's criteria from a financial perspective. As Berkshire reviewed stocks in the area of communications, would you consider an investment in this area at some time in the future?","There's certainly no question. Amazing things have happened in communications. It's interesting that you mentioned AT&T because AT&T's return on equity over the last 15 years has been very, very poor. They have had special charges time after time and said, don't count this. But the overall return on equity, if you calculated for AT&T for the last 15 years, it's not been good at all. They were the leader in the field, but so far what has happened is has hurt them, at least relative to their competition far more than it's helped them. We have a fellow on our board, Walter Scott, who is right here in the front row, if I can quite see him. But Munger knows a lot more about this. He used to try to explain to me these changes that were taking place. We'd ride down a football game on Saturday. And Walter would patiently explain to me like he was talking to a sixth grader what was going to happen in communications. And the problem was that he had a fourth grader in the car with him, namely me. So I never got it, but Walter did. And he's done very well in MFS and level three. And I think for people who understand it, and are reasonably early, you know, there could very well be substantial money to be made. There's been an awful lot of money made in this town of Omaha by people, not one of them. And I have no insights that I bring to that game that I think are in any way superior. And probably in many cases, not even equal to those of other participants. There's a lot of difference between making money and spotting a wonderful industry. You know, the two most important industries in the first half of the century in the United States, in the world, probably with the auto industry and the airplane industry. I mean, here are these two discoveries, both in the first decade, essentially in the first decade of the century. And if you've foreseen in 1905 or thereabouts what the auto would do to the world, a little on the or this country or what the airplane would do, you might have thought that it was a great way to get rich, but very, very few people got rich by being, by writing the back of that auto industry. And probably even fewer got rich by participating in the airline industry over that time. I mean, millions of people are flying around every day, but the number of people who made money carrying them around is very limited. And that the capital has been lost in that business, the bankruptcy, it's been a terrible business. It's been a marvelous industry. So you do not want to necessarily equate the prospects of growth for an industry with the prospects for growth in your own net worth by participating in it, Charlie. Oh, it reminds me of a time in World War II, when these two aircraft officers I knew and I didn't have anything to do at the time. So I'm general came into visit and he said to one of them, he says, the tenant Jones, what do you do? He says, I don't do anything. He turned to the second one, he says, what do you do? And he says, I help the tenant Jones. That's been my contribution on communications investments. You're going to address me as Lieutenant Jones for the rest of the meeting at the moment."
You have discussed what a wonderful business is. One of the criteria in your acquisition page 23 of your annual report is management. Could you discuss how you decide what good management is and how you decide whether you have a good manager?,"The really great business is one that doesn't require good management. I mean that is that's a terrific business. And the poor business is one that can only succeed or even survive with great management. But we look for people that know their businesses, love their businesses, love their shareholders, want to treat them as partners. And we still look to the underlying business. If we have somebody that we think is extraordinary, but they're locked into one of those terrible businesses, because we've been in subterrible businesses. And the best thing you can do probably is get out of it and get into something else. But there's an enormous difference, frankly. There's an enormous difference in the talent of American business managers. The CEOs of the Fortune 500 are not selected like 500 members of the American Olympic track and field team. And it is not the same process. And you do not have the uniformity of top quality that you get with the American Olympic team. In any sport, you do not get that in top management in American business. You get some very able people, some terrific people like Bill Gates that we just mentioned. But you get a lot of mediocrity too. And the test, I think in some cases that it's fairly identifiable who has done an extraordinary job. And we like people that have batted 350 or 360 in terms of predicting that they're going to battle over 300 in the future. And some guy says, you know, I batted 127 last year, but I've got a new batter, a new batting coach, you know, some management consultants come in and told them how to do it supposedly. We're very suspicious of that. So we don't, we don't like banjo hitters as suddenly proclaim that they can become power hitters. And then we try to figure out what their attitude is towards shareholders. And that isn't uniform, either throughout corporate America, it's far from uniform. We still want them to be in a good business. So I would emphasize that. And we feel that, I mean, when I gave the illustration of Tom Murphy in the, in the annual report, I mean, no one had either the ability, no one could top his ability or, or integrity in terms of the way he ran cap cities for decades. I mean, and you could, you could see it in 50 different ways. I mean, he was thinking about the shareholders and he not only thought about, I mean, you know what to do to forward their interests. And in terms of building the business, he only built it when it made sense, not when it did something for his, his ego or make it larger alone. He did it when it was in his shareholders interests. And they're, they're not all Tom Murphy's, but when you find him and they're in a decent business, you want to bet very heavily and not make the same mistake I made by selling out once or twice too."
"My question is about compensation, and I've seen your writing and I heard the earlier comments today, and they still leave me as a guy who is a business owner, not quite sure how to act to design compensation for managers. For most of my career, I've been the senior manager in my businesses, but now I'm in a situation where I'm looking to own a majority interest of businesses that I don't manage every day directly, and I'm very concerned with this compensation issue. I think about things like return on equity or growth or risk or like that, but if you could speak a little more towards the specific of how you approach the getting it to the right things to measure and in-cent, I'd appreciate that.","It's a very good question, and there is no formula that applies across all industries or businesses. If you pay way too much for the business that you buy, the person who runs it's going to get a lot of return on your equity. They may get a good return on the tangible assets employed in the business, but your purchase price may defeat them in terms of earning good returns. If you're based on earnings on tangible equity, there are businesses like a network television station where if you have an idiot nephew, you can put them in charge and learn huge returns on equity as long as they manage to stay away from the office. There are other businesses where you have to be a genius, turn, 7 or 8% returns on equity. There is no single yard sink to have a fair compensation system. Both you and the manager have to really understand the economics of the business. In some businesses, the amount of capital employed is all important. In some businesses, the amount of capital employed doesn't mean anything. We have certain businesses where we have charges for capital and all of that, and where we have other businesses where that would just be an exercise to go through and it wouldn't really change any results. Anyway, we have a great preference for making them simple. We concentrate on the variables that count to us, and then we try to put that against the backdrop of the competitive nature of the true economics of the business that are in and really reward where they're adding value, even if that value is from a very low base in a lousy business. We make it the base very high if they're in a very easy business. It hasn't been a problem, but I would say it would have been an enormous problem if we'd brought in some compensation consultants because they would have wanted something that was spread across the whole group and it would have had all kinds of variables. They particularly would have wanted something that they would have had to come in every year and redo in some way so that they would have had a continuing stream of income. If I knew what kind of a business you were looking at, it's easier to talk about what kind of a system to have. If you had a group of television stations to pick an example, let's say they were network television stations, all of a reasonable size, and you would probably figure that a chimpanzee could run the place. You would have 35% pre-tax margins and you might want to pay for performance above some number like that. It's silly to have something that starts at 10% or 15% when you do that. An lousy manager will always suggest an arrangement like that. Charlie and I've seen all kinds of compensation arrangements where basically you get paid for showing up but they try to make it look by constructing some mathematics around it like you really had to achieve something. In the end, if you get a great manager, you want to pay them very well. We've got great managers, for example, to a place like Mid-American and somebody mentioned that there's a big carrot out there for them if they achieve the results that we've set out. That will be a check. I'll be very happy to write. Charlie, if you want to read one book that will demonstrate really shrewd compensation systems in a whole chain of small businesses, read the autobiography of Les Schwab, who had a bunch of tire shops, has a bunch of tire shops all over the Northwest and he made a huge fortune on one of the world's really difficult businesses by having shrewd systems and he can tell you a lot better than we can. Yeah, and he worked that out himself. It's an interesting book and selling tires. How do you make any money doing that? Hundreds of millions selling tires. People like Sam Walton, the compensation system, I will guarantee you at Walmart or Charlie's in Balvin, Costco, they're going to be rational because you had very rational people running them. They wanted to get the best, they wanted to track good managers and they wanted to get the best out of them and they had no use in paying for mediocrity. But that does require a knowledge of the business. You don't want to let, if you don't understand a business, you're going to have a problem with both the manager and the consultant in terms of getting flimplammed on how you pay people."
Can you describe how you made your investment decision to invest in a Heizer Bush and how you estimated its intrinsic value? How long did it take you to make this decision and is fertilizer an inevitable like Coca-Cola?,"I'm still breaking a Coca-Cola. Well, the meeting might get a little exciting if we were drinking but here. We don't get into much in the way of description of things we might be buying or selling. But the decision takes about two seconds. But I bought 100 shares of Aniser about, I looked it up. But I would say maybe 25 years ago, when I bought 100 shares of a whole lot of other things. And I do that so I can get the reports promptly and directly. You can get them for your brokerage firm, but I found it's a little more reliable to put the stock in a direct name. So I've been reading the reports for at least 25 years and I observe just generally consumer habits. And at a point, currently, the beer industry sales are very flat. Wine and spirits have gained in that general category at the expensive beer. So if you look at the industry figures, they're not going anywhere. Millers has been rejuvenated to some degree. So Aniser, which has had a string of earnings gains that have been quite substantial over the years and market share gains is experiencing as they've described. And they just had a conference call the other day. Experiencing very flat earnings, having to spend more money to maintain share in some cases, having promotional pricing. So they are going through a period that certainly less fun for them than was the case a few years ago. And it's a fairly easy to understand product and consumer behaviors fairly easy to understand. It's a very, very exceptionally strong business. In fact, what's happened in the beer industry over the last 50 years has been fascinating to me and to Charlie because this is a brewing town that we grew up in and Charlie knew the members of the store's family number of them well. The stores had over 50% of the Omaha market in beer post-World War II and basically disappeared as the National Brands took over. So it's an interesting phenomenon. Beer business is not going to grow significantly in the US. Worldwide, barris popular, great many places. And Aniser will have a very strong position in it. But I would not expect the earnings to do much for some time. But that's fine with us, Charlie. Yeah, at our scale of operation now, if we're ever going to buy into a terribly well-regarded company, we almost need a little patch of unpleasantness. Yeah. That's been the best time to buy Berkshire incidentally, too. I mean, what we're looking for is businesses with a durable competitive advantage. I don't think there's any question that Aniser has a very, very strong consumer position. Now, as I said, Miller has been rejuvenated to some degree. But the other thing about it is, of course, in beer, you do not see the prevalence of private labels or generic products that you see in a great many consumer products that are being, that have had strong positions over the years that are being attacked. That's a small plus. But beer consumption per capita is going no place. And there's nothing that will change that. Interestingly enough, the average person in this climate drinks about 64 ounces of liquid a year. And I think it's roughly 27% of that will be carbonated soft drinks. So almost. And of course, that Coca-Cola will be about Coca-Cola products will be 40 odd percent. So of the 64 ounces of liquid that Americans are drinking every day, you can figure something like 11 ounces of that man, woman, and child will be a Coca-Cola product. Beer, as I remember, I could be wrong on this. But I think beer is about 10% of all liquids. So one out of every 10 ounces of that's consumed by Americans of any kind of liquid is I believe is beer. Coffee incidentally, despite what you read about, you know, the popularity of Starbucks, which is very real, of course. But coffee has just gone down and down and down over the last 30 or 40 years. Charlie, do you have any thoughts about your consumption habits? That's your can talk about. Well, there are people here that may remember Metz beer. And in this country, we had more breweries. There were hundreds. And small places would have two or three brands. And this trend toward concentration into a few chances, I think, permanent. Yes, Schlitz was number one, as I remember, after World War Two for a while. I think Anisah was number four at that time. There's an interesting book. If you're a beer enthusiast, came out a few months ago, maybe a little longer than that by a Wall Street Journal reporter that sort of toured the country, sampling beers. I don't know how it affected his writing. But it's a pretty good book. If you like reading about the history of beer"
"If you have any more like a jeet of their tandem, we need them. Right. My question pertains to the allocation of a company's free cash. And the question is, under what circumstances would Berkshire consider parting with its money for a shared buyback program as opposed to retaining it for future acquisitions?","Yeah, that's a good question. And we addressed that a bit back a couple of years ago. In fact, I think our annual report for 1999 came out on March 12th. I believe it was March 12th on a Friday or night or a Saturday morning. That was the day. The NASDAQ had its high and Berkshire hit its low on the exact day. And we said we would next morning on the internet on a Saturday morning. We said we would repurchase, but we wanted you to have the annual report first, but we would repert. We might repurchase at those levels. And the NASDAQ never saw its level of 51 hundred again. And Berkshire never saw its level of whatever it was, 41,000 or thereabouts. Our preference, and we say that this 20 years ago, even is to buy businesses. We want to add businesses of a quality with managers of a quality equal to those we already own at prices that make sense. And that's our number one preference. If we thought Berkshire was significantly undervalued and we thought the likelihood of using the money to buy businesses, the probability was low. We would be buying stock in. We probably wouldn't be able to buy a lot of stock in, but we would only buy stock in if we thought the stock was selling significantly below intrinsic value. And there's no magic figure for intrinsic value. And intrinsic value is a range. Charlie would name a different number than I would name, but our ranges would be quite similar if we were to write them down on a piece of paper now, but they wouldn't be identical. So we would leave a significant margin of safety and want to buy a what would be a clear cut to us discount from the lower levels of intrinsic value we might calculate. It's not our number one preference to be on. We would rather add business. We love it when we add good businesses to Berkshire. But we would have to stock. We could add in intrinsic value per share by repurchasing. And we'd given all the shareholders relevant information about the values so that we weren't putting anything over on them that they had the same information we had. We would buy in stock. I think it's unlikely that happens that we don't find other opportunities to do things at a time like that, but it could happen. And it almost happened in March of 2000. And then things should surround very, very abruptly."
I'm very curious about the Buffett-Monger philosophy and practice of philanthropy.,"Charlie, you want to swing at that one first? I think it's fair to say that both of us feel that the very fortunate, oh, a duty to the general civilization, not even to the country of which he, he's a member, whether you give as you go along or have the Buffett system of moderate giving as you go along and immense giving, in due course, I rematter a regard as a matter of personal taste. I would understand the second position in that I would hate to spend all my time every day having people ask me for money, and I don't think Warren could stand it. Let's not even try, let's not even try, Charlie. Oh wait, I mean, it's a matter of record and hasn't changed for, I don't know, 25 years probably, but basically everything I have at the date of the later of the death of myself or my wife goes to charity. I mean, 99 and a significant fraction, and since my children are here, I'm not going to carry it out. They ate decimal places, but they, they don't, why not? Think about this way, here, here, here, here, let's just assume that instead of being born as I was in a single birth, that I were in the womb, and there was an identical twin next to me, same DNA, same, everything, personality, propensity to work, propensity to say, whatever, identical twin, wasn't Charlie, it might look like him, but, and there we are, the tulips, and a genie appeared. And the genie said, I've got a proposition for the two of you, you're going to be born in 24 hours, same talents, everything identical. And one of you is going to be born in Omaha, and one of you is going to be born in Bangladesh. And I'm going to let you two decide which one gets to be born in Bangladesh, and which one gets to be born in Omaha. And I've got this system, and I'm what, the way I'm going to work it is that you, we start the bidding, and whichever one of you bids the highest proportion of your state to go to society, when you die, gets to go be born in the United States. I think you've been 100%. You know, you hear all of this about, you know, grit and pluck and all of these things, and how, you know, you've applied yourself working all your life, and you've done all these wonderful things. Well, just imagine if I've been born in Bangladesh, you know, and I walked down Main Street and said, you know, I, I allocate capital, you know, let me show my stuff, and I, I'd have died of malnutrition. I mean, I wouldn't have made it through the first few months. The society, the Charlie and I working, I mean, we were lucky, and how, I mean, when we were born, the odds were 50 to one against us being born in the United States. So we hit the jackpot. And basically, you know, we've had all of the fun of working with us and working with good people and money obviously, it opens lots of doors and life to interesting things. And it goes back to society like Charlie says, you can go back on the installment system through life, I can go back and alums some at death. I've mixed the two, the sum extent, but I, I wait heavily, the lump sum. But, you know, that's where it belongs. I mean, it, there's no reason why little generations of little buffets now, and the next one, you know, 100 years from now, should all be commanding the resources of society just because they came out of the right womb. You know, what sort of justice is that? So, so basically, it's going back to society."
"I was talking to one of the former managers of the Fidelity Magellan Fund, Managed Huge Amounts of Money, and he never really met you. And I was saying, I may have a chance to ask Warren Buffett and Charlie Munger a question. What would that question be? I wanted to have some idea of something intelligent I could ask business-wise. And he thought, if he had the opportunity to talk to you, the best thing is to give you what would sound like a softball question, because you could maybe bring more profoundness to this than we hear usually. In view of the Iraq War, consumer debt that's increasing, declining job growth, declining pay in the jobs that are growing, prospects of increased interest rates, he has this view that the next five to ten years are going to be very difficult. What would your view be about the investment future for the next five to ten years, and do you have all these negative factors going on?","That's too soft for me, I think Warren should think about it. Well, I would say that at any given point in history, including one's stocks were their cheapest, you could find an equally impressive number of negative factors. I mean, you could have sat down in 1974 when stocks were screaming bargains, and you could have written down all kinds of things that would have caused you to say the future is just going to be terrible. And similarly, at the top, or anytime you can write down a large list of things that would be quite on the bully side, we really don't pay any attention to that sort of thing. I mean, we have, you might say that our underlying premise, and I think it's a pretty sound underlying premise, is that this country will do very well, and in particularity, it will do well for business. Business has done very well. The Dow went from 66 to 10,000 plus in the hundred years of the 20th century, and we had two world wars and nuclear bombs and flu epidemics, and you name it, Cold War. There's always problems in the future. There are always opportunities in the future, and in this country, the opportunities have won out over the problems over time. And I think they will continue to do so, absent weapons of master's destruction, which is another question, and business won't make much difference if anything really drastically happens along that line. So, we don't, I don't, I can't remember many discussions Charlie that I've had ever going back to 1959, where we would have come to the conclusion at the end of them that we would have passed on a great business opportunity, a business to buy because of external conditions, and we thought it was mediocre, simply because we thought the world was going to be wonderful. It won't be the American economy, in my view, that doesn't invest over a five or ten or twenty year period. It will be the investors themselves. If you look at the record of the 20th century, you'd say, how could anybody have missed, you know, and owning equities during that time, and yet, you know, we had, we had all kinds of people wiped out, you know, in the 29th, 32th period, we had all kinds of things that were bad, but if you would just own stocks right straight through, didn't leverage them, you know, you would, you know, you'd have gotten a perfectly decent return. So, we're, we're unaffected in essence by the, by the variables you mentioned, just show us a good business tomorrow and we'll jump at the hook, Charlie. Yeah, I think, but it's also true that both of us have said it various times over the last three years that we wouldn't be at all surprised if professionally invested money in America. I had a pretty modest result over a fairly extended period of the future compared to the very dramatic way, high returns that it had achieved up to about three years ago. And so far, that's been proved out to be pretty much right. Yeah. Certain stretches are easier than other stretches. Yeah, our expectations were, were more modest than most people, so two years ago, we didn't say the world was coming to the end or anything, we just said that people had gone crazy in certain sectors and that, and that anybody that thought that, that you could, you know, sit at home and day trade and make double digit returns over time or do anything with it, you were entitled to that, you know, by just sticking a little money in your 401k or something, was really living in a fool's paradise. But that was never accompanied by any predictions of disaster for the American economy as a whole or from American businesses. It's, people get crazy notions from time to time in financial markets and we've come in on this earlier but they just believe things that there's, it's hard to understand how they can believe. Now, since I'm a student, they get sold that by other people. But American business really is, is never let investors down or to a group, but investors have done themselves in quite frequently."
You've often stated that value and growth are opposite sides of the same coin Would you care to elaborate on that and do you prefer a growth company that is selling cheap or a value company with with moderate Or better growth process?,"Well actually, I think you're maybe misquoting me, but I really said that growth and value They're indistinguishable. They're part of the same equation or really growth is part of the value equation So there are position is that there is no such thing as as growth stocks or value stocks the way Wall Street generally portrays them as being contrasting asset classes growth usually as a chance to Growth usually is a positive for value, but only when the It it it means that by adding capital now you add more Cash availability later on at a rate that's considerably higher than the current rate of interest so There is no we don't we We calculate in that any business we buy what we expect to have happen in terms of the cash that's going to come out of it Or the cash that's going to go into it as I mentioned at flight safety We're going to buy 200 million dollars worth of simulators this year our depreciation will probably be in the area of 70 million dollars are thereabouts, so we're putting 130 million dollars Above depreciation into that business now that can be good or bad. I mean it's growth. There's no question about it We'll have a lot more simulators at the end of the year, but whether that's good or bad depends on what we earn on that incremental 130 million dollars over time so if you tell me that That you own a business that's going to grow to the sky and isn't that wonderful? I don't know whether it's wonderful or not until I know what What the economics are of Of that growth how much you have to put in today and how much you will reap from putting that in today later on and the classic case again Is the airline business the airline business has been a growth business ever since well, you know that or will took off But it's the growth has been the worst thing that happened to it. It's been great for the American public but growth has been a curse in the in the airline business because more and more capital has been put into the business in adequate returns Now growth is wonderful. It sees candy because it requires relatively little like incremental investment To sell more pounds of candy so it's growth and I've discussed this in some of the annual reports growth is Part of the equation, but anybody that tells you you out of your money and gross stocks or values stocks really does not understand investing Other than that they're terrific people Charlie Well, I think it's fair to say that Berkshire with a very limited Headquarters staff and that staff pretty old we are especially partial to Blaying out large sums of money under circumstances where we won't have to be smart again In other words if we buy good businesses run by good people at reasonable prices There's a good chance that you people will prosper us for many Decades without more intelligence at headquarters and You can say in a sense that's growth stock investing Yeah, if you'd asked Wall Street to classify Berkshire since 1965 year by year is this a gross business or value business Growth stock or value stock, you know who knows what they would have said but You know the real point is that we're trying to put out capital now to get more capital or Money it we're trying to put out cash now to get more cash back later on and If you do that the business grows obviously and you can call that value or you can call it growth but but they're not two different categories and I just cringe When I when I hear people talk about now it's time to move from gross stocks to value stocks or something like that Because it just doesn't make any sense"
"With Berkshire's size becoming very large, I would expect major future investments to be in the form of complete buyouts, such as the general re-equivision, or would you still consider nibbling in the stock market?","My name is Fred Costano from East Point, Michigan, and I appreciate this opportunity. Well, we don't want to nibble, but we would like to take big gulps in the stock market from time to time. But we've always wanted to acquire entire businesses. People never seem to really believe that back when we were buying C's candy or the Buffalo News or National Indemity. That's been our number one preference right along. It's just that we found that much of the time we could get far more for our money in terms of wonderful businesses by buying pieces in the stock market than we could by negotiated purchase. There may have been, there may be some movement in terms of the availability of the two toward the negotiated purchase. Although it's almost impossible to make a wonderful buy in a negotiated purchase. I mean, you will never make the kind of buy in a negotiated purchase that you can in a bad style that you can make by a stock in a weak stock market. It just isn't going to happen. The person on the other side cares too much, whereas in the stock market in a 1973 or four, you were dealing with the marginal seller and whatever price they established for the business, you could buy it. I couldn't have bought the entire Washington Post Company for $80 million in 1974, but I could buy 10% of it from a bunch of people who were just operating based on calculating betas or doing something of a sort. They were in a terrible market and it was possible to buy a piece of it on that valuation. You never get that kind of buy in a negotiated purchase. We always are more interested in a negotiated, large negotiated deals than we are in stock purchases, but we are not going to find a way probably to use all the money that way. We occasionally make a chance to put big chunks of money into attractive businesses that are which we buy through the stock market, 5-10% of the company or something of that sort. Charlie? My guess is over the next five years we'll do some of both. Both the entire business and the big gulps in the stock market. I agree with that. We'll keep working at both. We're not finding a lot in either arena. We might be a little more likely to find it in the negotiated business. It won't be any huge bargain. We're not going to get any huge bargain in the negotiated purchase. We are more likely to find what I would call a fair deal. They're under today's circumstances than we will in the market, but I agree with Charlie. We'll next five years. I think you'll see us do both."
"A few years ago, you said you had made a mistake by not buying shares of the major pharmaceutical companies around 1993. You cited their value to society, as well as their terrific growth, high-profit margins, and great potential. You said that while you didn't know which companies would do the best, you could have made some kind of sector play because the entire sector had been decimated. These exact same words, including those about not knowing which businesses will dominate over time, can also be used to describe another industry which has recently been decimated. This industry is of course technology. How do you see these two investment ideas, pharmaceuticals and 93 in technology now, and what difference in the two situations makes the first a good opportunity for Berkshire and the second not one?","Well, it Charlie answers all the questions about mistakes, so I will turn the second question over to him. Personally, I think that the future of the pharmaceutical industry was easier to predict than the future of the high technology sector. In the pharmaceutical sector, almost everybody did well, and some companies did extremely well. In the other sector, whether or many permanent casualties in the high-tech sector. I would say that there is certainly nothing obvious to us about the fact that the tech sector as a group or viewed in aggregate would be a good buyer or be undervalued, whereas we should have had enough sense to recognize that the pharmaceutical industry as a group was undervalued. But the pharmaceutical industry has a far better record of returns on large amounts of equity over time. And with a high percentage of the participants having those returns than the tech industry, I wouldn't regard those two as comparable at all."
"It's become more and more important to me as it's become more and more difficult to find a rational discussion about the stock market. This weekend really is a breath and fresh air for most of us, I think. One of the places I refer to a lot is Benjamin Graham. What worries me now is what he referred to as a period in 1929 in the early 30s is a lab experiment that were normal intrinsic values and margins of safety broke down or seemed to. I wonder how much you think that might happen now in the next few years and how much you worry about that with the investments you're making.","We generally believe you can just see anything in markets. It's extraordinary what happens in markets over time. It gets sorted out eventually. We have seen companies sell for tens of billion dollars that are worthless. At times, we have seen things sell for 20%. A number of things, not hard to find perfectly decent people running themselves for literally 20% or 25% of what they were worth. We have seen and will continue to see everything. It's just the nature of markets. They produce wild, wild things over time. The track is occasionally that they can find one of those wild things and not to get carried away one other wild things happen. The wild things create their own truth for a while and you have to... That's the reason they're happening. People are getting pleasant experiences and all that. You'll see everything if you're on markets for a reasonable period of time. We don't see any great cases of dramatic undervaluation by this market. It doesn't like... We're seeing because there's this perhaps a speculative domain in a particular area of the market. We do not see that creating incredible undervaluation in other places. What's happening there may lead undervaluation a few years from now or may not. I don't know that. It doesn't like you can find things that are worth double or there about what you're paying. Because frankly, there's so much money sloshing around that if you found such a thing, it would be very likely corrected by some buyout types. We would love to find businesses that are selling for half of what they're intrinsically worth. We don't find that. We do find a lot of cases where we think the valuations on the high side are unbelievable. We have been in periods in the past where we've felt almost everything was being given away too. You'll get those extremes, most of the time the markets end up positioned where there's a little of both. But every now and then, it gets into a position where there's a lot of one or the other. We would love it if we could find a lot of reasonable-sized companies that were selling it. What we thought were half of the intrinsic value. We're not finding them, Charlie. We do think that the present time is a very unusual period. It's hard to think of a time when residential real estate and common stocks and so on. Roast so rapidly in price. There was so much easy money floating around. I mean, this is a very unusual period. What's fascinating, and I'm sure you thought of it, is that you could now have a business saw a few of them earlier this year. We'll say that might have been selling for ten billion dollars for the business itself. It could not have borrowed probably a hundred million dollars in debt with an equity valuation of ten billion. But the business itself would not, as a private business, would not have been able to borrow a hundred million. But the owners of that business, because it's a public, can borrow many billions of dollars on their little pieces of paper because they have this market valuation. The company itself couldn't borrow one-twenty if they saw what the individuals could borrow. That's happened to a degree before. But this has probably been as extreme as anything that's happened probably including the twenties. That doesn't mean there's a parallel to it, but it's been pretty extreme, is right? I think it probably is the most extreme that has happened in modern capitalism. In my lifetime, I would say the thirties were the... It created the worst recession in the English-speaking world in 600 years. And it was very extreme. All you could eat in Omaha through the thirties for a quarter, from Henderson's cafeteria. And now we're seeing the other face of what capitalism can do. And this is almost as extreme as the thirties were, but in a different direction. It's zero unemployment, rampant speculation, etc., etc., it's an amazing period. That does not make it easy to predict however the outcome. It says to us, though, certain things we want to stay away from. I mean, basically, it's precautionary to us. It does not spell opportunity. Although there's no question that the... In the last year, the ability to monetize shareholder ignorance has never been exceeded, I think."
